flight, time , var, type, p goo, p bad 
20221003_flight2.csv , 203 , dscrPBNdeviationIntegrCorr , d , 0.016212740951390324 , 0.05161181623390872
20221003_flight2.csv , 204 , dscrTimeNavlogCheck , d , 0.03812147032692076 , 0.08201387745944039
20221003_flight2.csv , 204 , dscrPBNdeviationIntegrCorr , d , 0.036118000495759396 , 0.16049540069389848
20221003_flight2.csv , 205 , dscrPBNdeviationIntegrCorr , d , 0.033098904468409435 , 0.16049540069389848
20221003_flight2.csv , 206 , dscrPBNdeviationIntegrCorr , d , 0.03691170548234132 , 0.16049540069389848
20221003_flight2.csv , 256 , dscrTimeWPTCheckCurrLeg , d , 0.03326520152772932 , 0.06689486503368564
20221003_flight3.csv , 25 , dscrTimeWPTCheckNxtLeg , d , 0.22880508871517372 , 0.6368737748561398
20221003_flight3.csv , 31 , dscrTimeMapCheck , d , 0.06540835570144599 , 0.34702635612845195
20221003_flight3.csv , 31 , dscrPBNdeviationIntegrCorr , d , 0.005875573895944395 , 0.021019505473085162
20221003_flight3.csv , 47 , dscrTimeMapCheck , d , 0.23167593703274209 , 0.489421265863483
20221003_flight3.csv , 54 , dscrTimeTrackCheck , d , 0.14519433246490124 , 0.3028349384390669
20221003_flight3.csv , 89 , dscrTimeNavlogCheck , d , 0.029842010736113426 , 0.10346332953009
20221003_flight3.csv , 115 , dscrTimeTrackCheck , d , 0.0027142810185378243 , 0.006352493216323182
20221003_flight3.csv , 143 , dscrTimeNavlogCheck , d , 0.023524901359228724 , 0.04879248403814253
20221003_flight3.csv , 163 , dscrTimeNavlogCheck , d , 0.02503029717984666 , 0.10346332953009
20221003_flight3.csv , 165 , dscrTimeTrackCheck , d , 0.03668572063911329 , 0.07417600235805916
20221003_flight3.csv , 204 , dscrTimeNavlogCheck , d , 0.0127985107516423 , 0.04879248403814253
20221003_flight4.csv , 18 , dscrPBNdeviationIntegrCorr , d , 0.019844672308532 , 0.20180531341140717
20221003_flight4.csv , 125 , dscrTimeNavlogCheck , d , 0.01202141370889792 , 0.04879248403814253
20221003_flight4.csv , 147 , dscrTimeTrackCheck , d , 0.0021620784031104335 , 0.006352493216323182
20221003_flight4.csv , 169 , dscrTimeNavlogCheck , d , 0.02963196564720116 , 0.10346332953009
20221003_flight4.csv , 219 , dscrTimeTrackCheck , d , 0.0022030411479363444 , 0.006352493216323182
20221003_flight4.csv , 243 , dscrPBNdeviationIntegrCorr , d , 0.009178672706700712 , 0.05161181623390872
20221003_flight4.csv , 244 , dscrPBNdeviationIntegrCorr , d , 0.02129610043612618 , 0.16049540069389848
20221003_flight4.csv , 245 , dscrPBNdeviationIntegrCorr , d , 0.021239698497181242 , 0.16049540069389848
20221003_flight4.csv , 246 , dscrPBNdeviationIntegrCorr , d , 0.02069814864400371 , 0.16049540069389848
